id,[x],[y],[y_pred],[y_pred_init]
57,0.762712787051,0.205514058182,0,0,0.065966566005
58,0.762803518867,1.358090914896,0,0,-0.001207212349
59,0.763027760478,16.812936328046,0,0,-0.043561996796
60,0.763266684282,0.485107848516,0,0,0.044969304353
63,0.763609439992,0.733997803124,0,0,0.085931360617
64,0.763717558723,8.667654631923,0,0,0.007491570221
65,0.764000763311,5.186115313682,0,0,-0.075249325957
66,0.764358792094,2.936632182842,0,0,-0.031809680201
67,0.764459216273,1.419533045941,0,0,0.014498307515
68,0.764672970333,0.511860955629,0,0,0.003650383760
69,0.764904087613,0.245660049926,0,0,-0.020716513937
72,0.765678990764,5.276470072794,0,0,0.106444624667
73,0.766077959431,8.475669335326,0,0,0.011094054157
74,0.766460277908,2.146843789754,0,0,-0.054559289855
76,0.766729106905,1.754519449752,0,0,0.058148876160
77,0.766763807143,0.300007804826,0,0,0.099677456705
78,0.766889549985,13.326886976123,0,0,-0.016722691049
79,0.766920515328,0.583819732979,0,0,0.018800586620
80,0.767089460303,5.979494075653,0,0,-0.013434467249
81,0.767575391006,0.665567078879,0,0,-0.020226415176
82,0.767583074274,1.727969217998,0,0,0.041564332353
83,0.767658833581,0.546809416520,0,0,-0.052200685056
84,0.767909488908,0.223524223710,0,0,-0.045549296035
85,0.768222506953,4.714565494393,0,0,0.045722316369
86,0.768252723154,11.471483977014,0,0,-0.091535827700
87,0.768541251575,3.116571818117,0,0,0.077538436406
88,0.768897904642,4.078737677271,0,0,-0.044683163917
89,0.769364660239,2.240334425396,0,0,0.009853892118
91,0.769798651006,0.397220172325,0,0,-0.084494389530
92,0.770094982310,0.952240538214,0,0,0.046474821353
93,0.770102400228,7.157426079735,0,0,-0.021744433219
94,0.770328480043,14.990826902514,0,0,-0.032379057144
95,0.770466933686,0.314085466758,0,0,-0.066302094262
96,0.770637570532,0.300773709630,0,0,-0.054026705687
97,0.771081233640,2.001240868094,0,0,-0.006565651518
99,0.771430304281,0.695183519270,0,0,-0.062139895923
100,0.771698150555,1.272241396208,0,0,0.019346245916
101,0.771917453740,13.455143343553,0,0,-0.022212178279
102,0.772109726562,0.432914909821,0,0,-0.015123041526
104,0.772504739041,3.975686045822,0,0,0.043493040021
105,0.772975179431,2.616351723273,0,0,0.001829773929
106,0.773081791512,0.493024769835,0,0,-0.024336346091
107,0.773212205317,12.021789583524,0,0,0.020241536564
111,0.773822866114,0.972262019663,0,0,-0.009615499587
112,0.774225343955,1.232811614861,0,0,0.003640244322
113,0.774751785473,2.125934481242,0,0,0.051911395428
114,0.774964000860,3.519492802407,0,0,-0.001411719422
115,0.775121132671,0.584311493589,0,0,0.019418432076
117,0.775421656657,0.246722021340,0,0,-0.054753651897
118,0.775542599386,11.578173738444,0,0,-0.018336140982
119,0.775666610193,6.268988389752,0,0,-0.029123281501
120,0.775782618720,12.704485082769,0,0,0.040834674139
121,0.775868409211,1.829642158962,0,0,-0.051517255817
122,0.775978249027,0.455246100223,0,0,0.003301453448
123,0.776181140359,7.076483462909,0,0,0.079409140037
124,0.776267129489,2.991425171232,0,0,-0.037842939348
125,0.776519772261,4.318801187819,0,0,0.074559799693
126,0.776842503227,0.250141201912,0,0,0.025690632319
127,0.777203768239,0.955479251356,0,0,-0.040976058326
129,0.777818735823,0.282027456582,0,0,-0.059401280559
130,0.777893731728,2.999813472627,0,0,0.018477155438
131,0.778146832732,0.631850179438,0,0,0.048196625876
132,0.778351575712,3.385740964628,0,0,0.001868631088
133,0.778768211498,1.507521229706,0,0,-0.055956884873
134,0.779129429704,0.495098942976,0,0,-0.026147990678
135,0.779204607031,8.402204538128,0,0,-0.030427356785
136,0.779899592077,1.328563804087,0,0,-0.011713915588
137,0.779917841321,2.075953432738,0,0,-0.057152904253
138,0.780274047250,0.230273576809,0,0,-0.026690710477
139,0.780504672151,17.882271491716,0,0,-0.084378714261
140,0.780643190029,0.478833049128,0,0,0.020994268115
141,0.780757121153,4.045001290710,0,0,0.016318871338
142,0.780759674389,0.946469527877,0,0,-0.000313683478
143,0.780804254722,6.325011815709,0,0,-0.046971362482
145,0.781567264803,2.962048660836,0,0,-0.006426818938
146,0.781993120270,0.189820400522,0,0,0.032779965741
148,0.782292863456,0.465243115994,0,0,-0.016853779871
149,0.782386948200,3.695392202674,0,0,0.076881127073
151,0.782535102618,8.706883587218,0,0,-0.002834931789
153,0.782981766737,12.557475308545,0,0,-0.015010984089
154,0.783043411573,0.589168187208,0,0,0.174885065668
155,0.783605994194,0.726814280534,0,0,-0.021697441753
156,0.783652054379,2.591400095117,0,0,-0.041563821653
157,0.783983237907,6.752995100766,0,0,-0.052733257878
158,0.784138214433,4.539582224640,0,0,0.002739142803
159,0.784344095018,1.085035177447,0,0,0.048144881400
160,0.784536255222,1.010162548177,0,0,-0.007996821077
161,0.785096990682,4.605357517977,0,0,-0.007515509659
162,0.785188410224,9.753944004391,0,0,0.015262498713
163,0.785455943811,1.382839976317,0,0,0.024182528724
164,0.785959809711,14.675734783034,0,0,0.034107646860
165,0.786003676811,0.512860458501,0,0,0.082499956642
166,0.786005040891,0.333086617327,0,0,-0.005392863718
168,0.786286884620,1.616069510026,0,0,0.067153629155
169,0.786365508517,8.227781138495,0,0,-0.044020368907
170,0.786847808365,4.434626644893,0,0,-0.061925420032
172,0.787323688184,0.563329346213,0,0,-0.096142057871
174,0.787792354088,15.394170214633,0,0,-0.001871189500
175,0.787812899452,0.711618374660,0,0,0.056415785737
177,0.788325814337,3.314796700463,0,0,0.053989174498
178,0.788412230290,0.279737617645,0,0,0.058317625899
179,0.788428318174,14.846375349376,0,0,0.080708942439
180,0.788479267195,0.426231834116,0,0,0.012841715170
181,0.788853245649,0.661678524310,0,0,-0.000796830623
183,0.789405666286,10.487750847092,0,0,-0.080057942589
184,0.789985712891,1.131307374123,0,0,-0.034943114778
185,0.790192700869,0.210579389598,0,0,-0.028002995571
187,0.791134876029,0.558908736490,0,0,-0.000211541739
188,0.791242112647,11.850990631886,0,0,0.032492067148
189,0.791300080810,3.080081090330,0,0,0.008547442012
190,0.791366601651,6.205770540805,0,0,0.008295943084
191,0.791564364559,4.098303208342,0,0,-0.007023098523
192,0.791736313941,0.406281158872,0,0,-0.163216026647
193,0.791801263703,13.491827065276,0,0,0.037293029814
196,0.792875579392,1.147176406092,0,0,-0.013026055741
197,0.792898970241,0.317740751189,0,0,0.006612502855
199,0.793290905888,2.706285693440,0,0,0.034847287545
201,0.793835249775,0.207769691656,0,0,-0.029503283431
202,0.793946491130,4.344231627453,0,0,0.003572085952
203,0.794063522609,1.190851117681,0,0,-0.062199428607
204,0.794268668512,8.341609988497,0,0,-0.007015914476
205,0.794333839975,0.572387752080,0,0,-0.009126275151
206,0.794502957096,2.320344827899,0,0,-0.087935703294
207,0.794785229319,13.647574863758,0,0,-0.010641108591
208,0.795158261200,0.367927133601,0,0,-0.047465083858
209,0.795479730961,10.135985189844,0,0,-0.051277741677
211,0.795839610462,0.829431650513,0,0,-0.016227409482
212,0.796269579795,2.425015601638,0,0,-0.033296202951
213,0.796423418927,3.829464537806,0,0,0.009632964031
215,0.796455252414,13.060573843466,0,0,-0.121663052279
218,0.797240461736,11.247768762051,0,0,0.078940330387
220,0.797502690326,1.102697470787,0,0,0.023230722282
221,0.797745103385,9.487470688537,0,0,-0.072093158802
222,0.798018636815,0.249794927011,0,0,-0.082726555225
223,0.798676764647,2.175645957999,0,0,0.031212602923
224,0.799273077965,0.536433443973,0,0,0.027812234613
225,0.799488763777,6.350117560158,0,0,-0.029819948975
226,0.799833159846,3.893618988287,0,0,-0.061315722611
227,0.799897391281,14.156087029379,0,0,-0.064547310164
228,0.799931019196,0.863650707751,0,0,-0.013878903187
229,0.800030232557,1.322557047579,0,0,-0.044477588655
230,0.800146421815,2.565658771370,0,0,0.185915873610
232,0.800594442723,0.745086819053,0,0,0.086622007203
234,0.801290300332,6.041747031375,0,0,-0.017497232746
